timestamp,cpu_percent,memory_percent,process_count,network_connections,established_connections,disk_read_mb,disk_write_mb,unique_process_names
2026-08-30T11:46:19.337752,5.0,36.8,330,81,9,0,0,274
2026-08-30T11:46:23.367266,6.0,36.7,330,79,9,0.109,0.191,274
2026-08-30T11:46:27.386066,5.1,36.3,330,80,9,0.461,0.504,274
2026-08-30T11:46:31.411266,4.7,36.3,330,82,9,0.0,0.852,274
2026-08-30T11:46:35.436853,6.3,36.2,330,80,9,0.0,0.121,274
2026-08-30T11:46:39.464035,4.9,36.2,330,80,8,0.02,0.914,274
2026-08-30T11:46:43.493291,4.6,36.2,330,81,8,0.0,1.113,274
2026-08-30T11:46:47.511252,5.2,36.3,330,80,8,0.129,0.344,274
2026-08-30T11:46:51.526771,4.6,36.3,330,81,8,0.0,0.574,274
2026-08-30T11:46:55.553707,3.8,36.3,331,82,8,0.0,0.254,275
2026-08-30T11:46:59.582685,6.3,36.3,331,80,8,0.0,2.004,275
2026-08-30T11:47:03.608154,4.0,36.3,330,82,8,0.027,0.133,274
2026-08-30T11:47:07.633399,4.5,36.3,330,80,8,0.0,0.047,274
2026-08-30T11:47:11.653450,5.3,36.3,331,80,8,0.012,0.121,275
2026-08-30T11:47:15.681941,4.3,36.3,331,81,8,0.0,1.547,275
2026-08-30T11:47:19.702287,4.8,36.3,331,79,8,0.0,0.824,275
2026-08-30T11:47:23.721381,4.1,36.3,331,79,8,0.0,0.113,275
2026-08-30T11:47:27.747709,4.1,36.3,331,81,8,0.0,0.047,275
2026-08-30T11:47:31.778872,6.3,36.3,331,79,8,0.035,0.711,275
2026-08-30T11:47:35.813268,4.5,36.3,331,79,8,0.0,0.109,275
2026-08-30T11:47:39.842028,5.3,36.3,331,80,8,0.012,0.316,275
2026-08-30T11:47:43.872549,4.4,36.3,331,78,8,0.0,1.102,275
2026-08-30T11:47:47.904414,4.8,36.4,331,78,8,0.0,0.0,275
2026-08-30T11:47:51.931465,4.6,36.3,331,78,8,0.0,0.148,275
2026-08-30T11:47:55.957759,4.3,36.3,331,77,8,0.0,0.328,275
2026-08-30T11:47:59.983849,5.5,36.3,331,80,8,0.0,2.578,275
2026-08-30T11:48:04.010307,4.4,36.4,331,77,8,0.059,0.199,275
2026-08-30T11:48:08.034003,11.8,37.1,331,77,8,0.0,0.027,275
2026-08-30T11:48:12.058370,4.2,36.8,331,79,8,0.004,0.566,275
2026-08-30T11:48:16.077467,4.2,36.8,331,77,8,0.0,1.176,275
2026-08-30T11:48:20.105606,5.6,36.9,331,77,8,0.0,0.176,275
2026-08-30T11:48:24.130290,5.1,36.9,331,78,8,0.0,0.031,275
2026-08-30T11:48:28.155124,3.5,36.9,331,76,8,0.0,0.148,275
2026-08-30T11:48:32.184812,3.8,36.8,331,76,8,0.0,2.242,275
2026-08-30T11:48:36.210974,4.1,36.8,331,79,8,0.0,0.168,275
2026-08-30T11:48:40.236891,5.0,36.9,331,77,8,0.0,0.004,275
2026-08-30T11:48:44.264830,4.1,36.9,331,77,8,0.0,0.113,275
2026-08-30T11:48:48.289792,4.5,36.9,331,80,9,0.0,3.648,275
2026-08-30T11:48:52.315435,4.8,36.9,331,78,9,0.0,0.465,275
2026-08-30T11:48:56.343589,4.2,36.9,331,79,9,0.0,0.031,275
2026-08-30T11:49:00.368484,5.1,36.9,331,75,7,0.0,0.469,275
2026-08-30T11:49:04.393416,4.1,36.9,331,76,7,0.0,0.098,275
2026-08-30T11:49:08.419561,4.8,36.9,331,78,7,0.0,0.242,275
2026-08-30T11:49:12.443622,4.8,36.9,331,76,7,0.0,0.0,275
2026-08-30T11:49:16.469454,4.7,36.9,331,77,7,0.0,0.793,275
2026-08-30T11:49:20.495477,4.4,36.9,331,79,7,0.0,0.117,275
2026-08-30T11:49:24.522387,3.6,36.9,331,77,7,0.008,0.215,275
2026-08-30T11:49:28.548343,4.3,36.9,331,79,7,0.0,0.035,275
2026-08-30T11:49:32.573419,5.9,37.0,331,81,7,0.035,0.633,275
2026-08-30T11:49:36.600226,4.7,37.0,331,78,7,0.0,0.039,275
2026-08-30T11:49:40.619686,3.9,37.0,330,79,7,0.012,0.164,274
2026-08-30T11:49:44.645995,4.6,37.0,330,80,7,0.0,0.258,274
2026-08-30T11:49:48.673954,4.2,37.0,330,79,7,0.0,0.895,274
2026-08-30T11:49:52.699432,4.4,37.0,330,81,7,0.0,0.375,274
2026-08-30T11:49:56.729901,3.8,37.0,330,79,7,0.0,0.039,274
2026-08-30T11:50:00.754189,4.7,37.1,333,80,7,0.035,1.238,277
2026-08-30T11:50:04.783761,6.4,37.0,337,80,7,0.0,1.062,278
2026-08-30T11:50:08.812416,12.6,37.4,335,78,7,0.0,0.648,276
2026-08-30T11:50:12.854826,6.1,37.0,336,79,7,0.0,0.004,277
2026-08-30T11:50:16.884457,9.4,37.2,336,88,7,0.766,2.719,277
2026-08-30T11:50:20.907794,19.4,37.5,337,82,8,0.293,0.828,278
2026-08-30T11:50:24.934020,5.8,37.5,337,82,8,0.176,0.219,278
2026-08-30T11:50:28.964865,7.3,37.6,339,83,8,0.156,2.945,280
2026-08-30T11:50:32.993280,6.9,37.5,337,81,8,0.0,2.543,278
2026-08-30T11:50:37.012183,14.2,38.1,337,80,8,0.008,0.242,278
2026-08-30T11:50:41.038237,4.2,37.8,337,79,8,0.016,0.191,278
2026-08-30T11:50:45.064197,5.5,37.7,337,80,8,0.0,0.434,278
2026-08-30T11:50:49.090392,5.0,37.7,337,79,8,0.0,1.43,278
2026-08-30T11:50:53.109792,4.3,37.7,337,79,8,0.0,0.586,278
2026-08-30T11:50:57.136442,4.4,37.6,337,79,8,0.0,0.039,278
2026-08-30T11:51:01.161699,4.9,37.6,337,81,8,0.0,0.121,278
2026-08-30T11:51:05.194938,4.3,37.5,334,79,8,0.0,0.703,278
2026-08-30T11:51:09.220823,4.9,37.5,334,80,8,0.0,0.289,278
2026-08-30T11:51:13.247794,4.6,37.5,334,81,8,0.0,0.0,278
2026-08-30T11:51:17.268297,3.5,37.5,334,80,8,0.0,0.102,278
2026-08-30T11:51:21.294514,4.6,37.6,334,81,8,0.055,0.895,278
2026-08-30T11:51:25.321068,4.8,37.6,334,80,8,0.0,0.832,278
2026-08-30T11:51:29.339751,5.8,37.6,334,79,8,0.016,0.172,278
